Trail_Name,Rank,Difficulty,Distance_Miles,Elevation_Feet,Route_Type,Description,Cluster_number,State,Latitude,Longitude,Cluster_number_whole
Boot Head Preserve Trail,954,Easy,2.4,242,Loop,"Boot Head Preserve Trail is a 2.4 mile loop trail located near Lubec, Maine that offers the chance to see wildlife and is good for all skill levels. The trail is primarily used for hiking, walking, trail running, and bird watching. Dogs are also able to use this trail.",1,Maine,44.77554,-67.03119,1
Tyler Conservation Area Loop,956,Easy,1.1,78,Loop,"Tyler Conservation Area Loop is a 1.1 mile lightly trafficked loop trail located near Readfield, Maine that offers the chance to see wildlife and is good for all skill levels. The trail is primarily used for hiking, walking, and snowshoeing and is accessible year-round.",1,Maine,44.40112,-69.97803,1
"Moose Alley, Couch Hill, Joe's Corner, Kidney Pond and Willy' Way Trail Loop ",961,Easy,2.9,170,Loop,"Moose Alley, Couch Hill, Joe's Corner, Kidney Pond and Willy' Way Trail Loop  is a 2.9 mile lightly trafficked loop trail located near Jefferson, Maine that features a lake. The trail is good for all skill levels and offers a number of activity options.",1,Maine,44.14582,-69.56921,1
Morrill-Stillings Farm Preserve Loop,963,Easy,1.1,78,Loop,"Morrill-Stillings Farm Preserve Loop is a 1.1 mile lightly trafficked loop trail located near Falmouth, Maine that features beautiful wild flowers and is good for all skill levels. The trail offers a number of activity options and is accessible year-round.",1,Maine,43.78298,-70.33792,1
Fairview Cemetery Loop ,966,Easy,0.9,68,Loop,"Fairview Cemetery Loop  is a 0.9 mile lightly trafficked loop trail located near Veazie, Maine that features a great forest setting and is good for all skill levels. The trail is primarily used for walking and trail running.",1,Maine,44.82927,-68.71654,1
Rachelís Cove Trail ,969,Easy,0.1,3,Loop,"Rachelís Cove Trail  is a 0.1 mile lightly trafficked loop trail located near Freeport, Maine that offers the chance to see wildlife and is good for all skill levels. The trail is primarily used for walking, nature trips, and bird watching.",1,Maine,43.81988,-70.09375,1
Macdonald Woods Inner Loop,970,Easy,2.3,213,Loop,"Macdonald Woods Inner Loop is a 2.3 mile lightly trafficked loop trail located near Wayne, Maine that features a river and is good for all skill levels. The trail is primarily used for hiking, trail running, and snowshoeing. Dogs are also able to use this trail but must be kept on leash.",1,Maine,44.37275,-70.01715,1
Tote Road and Crosscut Loop,973,Easy,2.5,164,Loop,"Tote Road and Crosscut Loop is a 2.5 mile moderately trafficked loop trail located near Rangeley, Maine that features a great forest setting and is good for all skill levels. The trail is primarily used for nature trips, mountain biking, and snowshoeing and is accessible year-round. Dogs are also able to use this trail but must be kept on leash.",1,Maine,44.95664,-70.56554,1
Hackett and Minot Trail,981,Easy,1.1,26,Loop,"Hackett and Minot Trail is a 1.1 mile moderately trafficked loop trail located near Harpswell, Maine that offers the chance to see wildlife and is good for all skill levels. The trail offers a number of activity options and is best used from April until October. Dogs are also able to use this trail.",1,Maine,43.79989,-69.98856,1
Foggy Bottom Trail,982,Easy,0.9,16,Loop,"Foggy Bottom Trail is a 0.9 mile lightly trafficked loop trail located near Augusta, Maine that features beautiful wild flowers and is good for all skill levels. The trail is primarily used for hiking, walking, and nature trips and is best used from May until October. Dogs are also able to use this trail but must be kept on leash.",1,Maine,44.27953,-69.70134,1
Windham High School Trail,983,Easy,0.9,121,Loop,"Windham High School Trail is a 0.9 mile lightly trafficked loop trail located near Windham, Maine that features a river and is good for all skill levels. The trail is primarily used for hiking and trail running and is accessible year-round.",1,Maine,43.79069,-70.41448,1
"Rufus Jones Trail, Partridge Trail, and Esker Loop",984,Easy,1.9,91,Loop,"Rufus Jones Trail, Partridge Trail, and Esker Loop is a 1.9 mile loop trail located near South China, Maine that features a lake and is good for all skill levels. The trail is primarily used for hiking, walking, and running.",1,Maine,44.46426,-69.4587,1
Camp Ketcha and Libby River Loop,987,Easy,2.7,82,Loop,"Camp Ketcha and Libby River Loop is a 2.7 mile lightly trafficked loop trail located near Scarborough, Maine that features beautiful wild flowers and is good for all skill levels. The trail is primarily used for hiking, walking, nature trips, and bird watching.",1,Maine,43.5589,-70.30261,1
Geology and Rocky End Loop ,988,Easy,1.9,206,Loop,"Geology and Rocky End Loop  is a 1.9 mile moderately trafficked loop trail located near Georgetown, Maine that offers the chance to see wildlife and is good for all skill levels. The trail offers a number of activity options.",1,Maine,43.80017,-69.75101,1
Little Nature Loop ,989,Easy,1.9,131,Loop,"Little Nature Loop  is a 1.9 mile lightly trafficked loop trail located near Jefferson, Maine that features beautiful wild flowers. The trail is good for all skill levels and is primarily used for hiking, walking, and nature trips.",1,Maine,44.14587,-69.56918,1
Gibson Preserve Nature Trail,995,Easy,0.5,0,Loop,"Gibson Preserve Nature Trail is a 0.5 mile lightly trafficked loop trail located near Searsmont, Maine that offers the chance to see wildlife and is good for all skill levels. The trail is primarily used for hiking, walking, and nature trips.",1,Maine,44.36353,-69.25161,1
Johnson Field Preserve Loop,996,Easy,0.3,39,Loop,"Johnson Field Preserve Loop is a 0.3 mile moderately trafficked loop trail located near Bailey Island, Maine that offers scenic views and is good for all skill levels. The trail is primarily used for walking and nature trips and is best used from April until October.",1,Maine,43.7316,-69.99665,1
Horseshoe and Rocky End Trail ,998,Easy,1.6,160,Loop,"Horseshoe and Rocky End Trail  is a 1.6 mile moderately trafficked loop trail located near Georgetown, Maine that offers the chance to see wildlife and is good for all skill levels. The trail offers a number of activity options.",1,Maine,43.80027,-69.75065,1
Migis Lodge Trails [PRIVATE PROPERTY],1003,Easy,0.8,65,Loop,"Migis Lodge Trails [PRIVATE PROPERTY] is a 0.8 mile moderately trafficked loop trail located near Casco, Maine that features a lake and is good for all skill levels. The trail offers a number of activity options and is best used from May until October. Dogs are also able to use this trail but must be kept on leash.",1,Maine,43.90953,-70.52053,1
Bowl Loop,1005,Easy,2.7,311,Loop,"Bowl Loop is a 2.7 mile lightly trafficked loop trail located near Jefferson, Maine that features beautiful wild flowers and is good for all skill levels. The trail offers a number of activity options and is accessible year-round. Dogs are also able to use this trail but must be kept on leash.",1,Maine,44.14966,-69.57302,1
Corinna Boardwalk [CLOSED],1009,Easy,0.6,6,Loop,"Corinna Boardwalk [CLOSED] is a 0.6 mile moderately trafficked loop trail located near Corinna, Maine that features a river and is good for all skill levels. The trail is primarily used for walking, nature trips, bird watching, and canoeing and is best used from March until October. Dogs are also able to use this trail but must be kept on leash.",1,Maine,44.92228,-69.25973,1
Shell Pond Loop from Evergreen Valley Road [PRIVATE PROPERTY],1012,Easy,3.7,232,Loop,"Shell Pond Loop from Evergreen Valley Road is a 3.7 mile moderately trafficked loop trail located near Center Lovell, Maine that features a lake and is good for all skill levels. The trail is primarily used for hiking, walking, running, and nature trips and is best used from April until November. Dogs are also able to use this trail but must be kept on leash.",1,Maine,44.24252,-70.96068,1
Cadillac North Ridge Trail,2,Moderate,4,1118,Out & Back,"Cadillac North Ridge Trail is a 4 mile heavily trafficked out and back trail located near Bar Harbor, Maine that features beautiful wild flowers and is rated as moderate. The trail offers a number of activity options and is accessible year-round. Dogs are also able to use this trail but must be kept on leash.",2,Maine,44.37854,-68.22954,2
Gorham Mountain,14,Moderate,1.6,429,Out & Back,"Gorham Mountain is a 1.6 mile moderately trafficked out and back trail located near Bar Harbor, Maine that features beautiful wild flowers and is rated as moderate. The trail offers a number of activity options and is best used from April until September. Dogs are also able to use this trail but must be kept on leash.",2,Maine,44.31667,-68.19205,2
Pleasant Mountain via Southwest Ridge Trail,18,Moderate,5.4,1984,Out & Back,"Pleasant Mountain via Southwest Ridge Trail is a 5.4 mile out and back trail located near Denmark, Maine that features beautiful wild flowers and is rated as moderate. The trail is primarily used for hiking, trail running, nature trips, and birding and is accessible year-round. Dogs are also able to use this trail.",2,Maine,44.00705,-70.85336,2
Penobscot Mountain Trail,20,Moderate,2.9,974,Out & Back,"Penobscot Mountain Trail is a 2.9 mile moderately trafficked out and back trail located near Mount Desert, Maine that features beautiful wild flowers and is rated as moderate. The trail offers a number of activity options and is accessible year-round. Dogs are also able to use this trail but must be kept on leash.",2,Maine,44.32023,-68.25286,2
Ledges Trail to Pleasant Mountain,27,Moderate,3.3,1512,Out & Back,"Ledges Trail to Pleasant Mountain is a 3.3 mile moderately trafficked out and back trail located near Denmark, Maine that features a lake and is rated as moderate. The trail offers a number of activity options and is accessible year-round. Dogs are also able to use this trail but must be kept on leash.",2,Maine,44.02443,-70.79742,2
Gorge Path Trail,37,Moderate,3.4,1286,Out & Back,"Gorge Path Trail is a 3.4 mile heavily trafficked out and back trail located near Bar Harbor, Maine that features a waterfall and is rated as moderate. The trail is primarily used for hiking, walking, nature trips, and bird watching and is best used from March until November. Dogs are also able to use this trail but must be kept on leash.",2,Maine,44.3526,-68.22463,2
Rattlesnake Mountain via Bri-Mar Trail,43,Moderate,2.5,623,Out & Back,"Rattlesnake Mountain via Bri-Mar Trail is a 2.5 mile heavily trafficked out and back trail located near Raymond, Maine that features a lake and is rated as moderate. The trail offers a number of activity options and is accessible year-round.",2,Maine,43.97396,-70.46923,2
Mount Battie Trail,49,Moderate,1.1,590,Out & Back,"Mount Battie Trail is a 1.1 mile moderately trafficked out and back trail located near Camden, Maine that features beautiful wild flowers and is rated as moderate. The trail is primarily used for hiking, nature trips, and bird watching and is best used from May until October. Dogs are also able to use this trail but must be kept on leash.",2,Maine,44.21655,-69.07001,2
Mount Megunticook Trail,54,Moderate,3.8,1033,Out & Back,"Mount Megunticook Trail is a 3.8 mile heavily trafficked out and back trail located near Camden, Maine that features beautiful wild flowers and is rated as moderate. The trail offers a number of activity options and is best used from March until October. Dogs are also able to use this trail but must be kept on leash.",2,Maine,44.24709,-69.08747,2
Sargent Mountain South Ridge Trail,55,Moderate,6.5,1318,Out & Back,"Sargent Mountain South Ridge Trail is a 6.5 mile lightly trafficked out and back trail located near Mt Desert, Maine that features beautiful wild flowers and is rated as moderate. The trail is primarily used for hiking, walking, nature trips, and birding and is accessible year-round. Dogs are also able to use this trail but must be kept on leash.",2,Maine,44.31218,-68.28531,2
Tumbledown Brook Trail,56,Moderate,4.7,1840,Out & Back,"Tumbledown Brook Trail is a 4.7 mile lightly trafficked out and back trail located near Weld, Maine that features a lake and is rated as moderate. The trail is primarily used for hiking and is best used from May until October. Dogs are also able to use this trail but must be kept on leash.",2,Maine,44.72892,-70.53226,2
Jordan Pond East Side Trail,61,Moderate,2.9,82,Out & Back,"Jordan Pond East Side Trail is a 2.9 mile moderately trafficked out and back trail located near Mount Desert, Maine that features a lake and is rated as moderate. The trail offers a number of activity options and is best used from February until October. Dogs are also able to use this trail but must be kept on leash.",2,Maine,44.32357,-68.24842,2
North Bubble Trail,64,Moderate,0.9,374,Out & Back,"North Bubble Trail is a 0.9 mile lightly trafficked out and back trail located near Bar Harbor, Maine that offers scenic views and is rated as moderate. The trail is primarily used for hiking and nature trips and is best used from April until October. Dogs are also able to use this trail but must be kept on leash.",2,Maine,44.34113,-68.25027,2
The Bubbles and North Bubble,66,Moderate,1.5,495,Out & Back,"The Bubbles and North Bubble is a 1.5 mile heavily trafficked out and back trail located near Bar Harbor, Maine that features beautiful wild flowers and is rated as moderate. The trail is primarily used for hiking, walking, trail running, and nature trips and is best used from April until September. Dogs are also able to use this trail but must be kept on leash.",2,Maine,44.34115,-68.25045,2
Jordan Pond to South Bubble Summit,68,Moderate,3,534,Out & Back,"Jordan Pond to South Bubble Summit is a 3 mile moderately trafficked out and back trail located near Mount Desert, Maine that features a lake and is rated as moderate. The trail is primarily used for hiking and nature trips and is best used from May until October.",2,Maine,44.32238,-68.25315,2
Jordan Pond West Side Trail,72,Moderate,3.3,49,Out & Back,"Jordan Pond West Side Trail is a 3.3 mile moderately trafficked out and back trail located near Mount Desert, Maine that features beautiful wild flowers and is rated as moderate. The trail offers a number of activity options and is best used from March until October. Dogs are also able to use this trail but must be kept on leash.",2,Maine,44.32236,-68.25308,2
Chimney Pond Trail,75,Moderate,6.3,1463,Out & Back,"Chimney Pond Trail is a 6.3 mile moderately trafficked out and back trail located near Millinocket, Maine that features a lake and is rated as moderate. The trail offers a number of activity options and is best used from May until October.",2,Maine,45.91967,-68.85747,2
Beachcroft Path Trail,76,Moderate,2.1,951,Out & Back,"Beachcroft Path Trail is a 2.1 mile lightly trafficked out and back trail located near Bar Harbor, Maine that features a lake and is rated as moderate. The trail offers a number of activity options and is accessible year-round. Dogs are also able to use this trail but must be kept on leash.",2,Maine,44.35841,-68.20551,2
Bass Harbor Head Light Trail,83,Moderate,0.2,32,Out & Back,"Bass Harbor Head Light Trail is a 0.2 mile moderately trafficked out and back trail located near Bass Harbor, Maine that offers scenic views and is rated as moderate. The trail is primarily used for hiking and walking and is accessible year-round. Dogs are also able to use this trail but must be kept on leash.",2,Maine,44.22251,-68.33698,2
Rumford Whitecap Trail,93,Moderate,5.3,1610,Out & Back,"Rumford Whitecap Trail is a 5.3 mile lightly trafficked out and back trail located near Rumford, Maine and is rated as moderate. The trail is primarily used for hiking, downhill skiing, and snowboarding and is best used from December until April. Dogs are also able to use this trail but must be kept on leash.",2,Maine,44.55012,-70.68417,2
Pemetic Mountain via Pemetic Northwest Trail,95,Moderate,1.2,764,Out & Back,"Pemetic Mountain via Pemetic Northwest Trail is a 1.2 mile lightly trafficked out and back trail located near Mount Desert, Maine that features a great forest setting and is rated as moderate. The trail is primarily used for hiking, nature trips, and bird watching.",2,Maine,44.34121,-68.25037,2
Champlain North Ridge Trail,98,Moderate,1.9,833,Out & Back,"Champlain North Ridge Trail is a 1.9 mile lightly trafficked out and back trail located near Bar Harbor, Maine that features beautiful wild flowers and is rated as moderate. The trail offers a number of activity options and is accessible year-round. Dogs are also able to use this trail but must be kept on leash.",2,Maine,44.36312,-68.19335,2
Bald Mountain Trail,99,Moderate,2.4,679,Out & Back,"Bald Mountain Trail is a 2.4 mile moderately trafficked out and back trail located near Camden, Maine that offers scenic views and is rated as moderate. The trail is primarily used for hiking and snowshoeing and is accessible year-round. Dogs are also able to use this trail but must be kept on leash.",2,Maine,44.23276,-69.15228,2
Bald Mountain Trail,103,Moderate,2.3,931,Out & Back,"Bald Mountain Trail is a 2.3 mile heavily trafficked out and back trail located near Rangeley, Maine that features a lake and is rated as moderate. The trail is primarily used for hiking and nature trips and is best used from April until October. Dogs are also able to use this trail.",2,Maine,44.95175,-70.79122,2
Bald Peak Trail,105,Moderate,4.3,1975,Out & Back,"Bald Peak Trail is a 4.3 mile moderately trafficked out and back trail located near Bridgton, Maine that offers scenic views and is rated as moderate. The trail is primarily used for hiking, walking, trail running, and snowshoeing and is accessible year-round. Dogs are also able to use this trail.",2,Maine,44.04479,-70.80352,2
Angel Falls Trail,110,Moderate,1.5,337,Out & Back,"Angel Falls Trail is a 1.5 mile moderately trafficked out and back trail located near Byron, Maine that features a waterfall and is rated as moderate. The trail is primarily used for hiking and nature trips and is best used from April until November. Dogs are also able to use this trail but must be kept on leash.",2,Maine,44.78972,-70.70707,2
Blue Hill Trail,119,Moderate,2,600,Out & Back,"Blue Hill Trail is a 2 mile moderately trafficked out and back trail located near Blue Hill, Maine that offers scenic views and is rated as moderate. The trail is primarily used for hiking and is accessible year-round. Dogs are also able to use this trail.",2,Maine,44.42894,-68.58308,2
Firewarden's Trail,120,Moderate,4.7,1528,Out & Back,"Firewarden's Trail is a 4.7 mile moderately trafficked out and back trail located near Denmark, Maine that features beautiful wild flowers and is rated as moderate. The trail offers a number of activity options and is accessible year-round. Dogs are also able to use this trail.",2,Maine,44.03754,-70.85114,2
Bald Mountain and Speckled Mountain,125,Moderate,4.2,1532,Out & Back,"Bald Mountain and Speckled Mountain is a 4.2 mile out and back trail located near Bryant Pond, Maine that features a great forest setting. The trail is rated as moderate and offers a number of activity options. Dogs are also able to use this trail but must be kept on leash.",2,Maine,44.42693,-70.53801,2
Mount Blue,131,Moderate,2.8,1774,Out & Back,"Mount Blue is a 2.8 mile moderately trafficked out and back trail located near Temple, Maine that features beautiful wild flowers and is rated as moderate. The trail is primarily used for hiking, walking, nature trips, and birding and is best used from May until September. Dogs are also able to use this trail.",2,Maine,44.72296,-70.36182,2
Knox Mountain ,138,Moderate,2.1,462,Out & Back,"Knox Mountain  is a 2.1 mile lightly trafficked out and back trail located near Newfield, Maine that offers scenic views and is rated as moderate. The trail offers a number of activity options and is accessible year-round. Dogs are also able to use this trail but must be kept on leash.",2,Maine,43.6486,-70.86524,2
Canon Brook Trail,142,Moderate,3.7,961,Out & Back,"Canon Brook Trail is a 3.7 mile lightly trafficked out and back trail located near Bar Harbor, Maine that features a waterfall and is rated as moderate. The trail is primarily used for hiking, walking, nature trips, and birding and is best used from March until November. Dogs are also able to use this trail but must be kept on leash.",2,Maine,44.34816,-68.20218,2
Fire Warden's Trail,147,Moderate,7.3,2572,Out & Back,"Fire Warden's Trail is a 7.3 mile moderately trafficked out and back trail located near Stratton, Maine that features a waterfall and is rated as moderate. The trail offers a number of activity options and is best used from May until September. Dogs are also able to use this trail.",2,Maine,45.11183,-70.32914,2
Wilson's Falls,150,Moderate,2.5,416,Out & Back,"Wilson's Falls is a 2.5 mile moderately trafficked out and back trail located near Guilford, Maine that features a waterfall and is rated as moderate. The trail is primarily used for hiking, walking, nature trips, and birding and is accessible year-round. Dogs are also able to use this trail but must be kept on leash.",2,Maine,45.37555,-69.44857,2
Conners Nubble Trail,151,Moderate,3.5,380,Out & Back,"Conners Nubble Trail is a 3.5 mile moderately trafficked out and back trail located near Bar Harbor, Maine that features a lake and is rated as moderate. The trail offers a number of activity options and is best used from March until October. Dogs are also able to use this trail but must be kept on leash.",2,Maine,44.37786,-68.25237,2
Bubble Pond Carriage Trail,155,Moderate,5.4,314,Out & Back,"Bubble Pond Carriage Trail is a 5.4 mile moderately trafficked out and back trail located near Bar Harbor, Maine that features a lake and is rated as moderate. The trail offers a number of activity options and is best used from April until October. Dogs are also able to use this trail but must be kept on leash.",2,Maine,44.34984,-68.24137,2
Puzzle Mountain Trail,157,Moderate,5.7,2339,Out & Back,"Puzzle Mountain Trail is a 5.7 mile lightly trafficked out and back trail located near Newry, Maine that features a great forest setting and is rated as moderate. The trail offers a number of activity options and is best used from May until November. Dogs are also able to use this trail but must be kept on leash.",2,Maine,44.53937,-70.82969,2
Streaked Mountain Trail,163,Moderate,0.7,505,Out & Back,"Streaked Mountain Trail is a 0.7 mile moderately trafficked out and back trail located near South Paris, Maine that features beautiful wild flowers and is rated as moderate. The trail offers a number of activity options and is best used from March until October. Dogs are also able to use this trail.",2,Maine,44.24614,-70.4314,2
Sargent Mountain,166,Moderate,4.2,1466,Out & Back,"Sargent Mountain is a 4.2 mile lightly trafficked out and back trail located near Mount Desert, Maine that features beautiful wild flowers and is rated as moderate. The trail is primarily used for hiking, nature trips, and bird watching and is best used from April until October. Dogs are also able to use this trail.",2,Maine,44.32904,-68.29327,2
Peaked Mountain Trail,167,Moderate,2.8,813,Out & Back,"Peaked Mountain Trail is a 2.8 mile lightly trafficked out and back trail located near Eddington, Maine that features a river. The trail is rated as moderate and offers a number of activity options. Dogs are also able to use this trail.",2,Maine,44.83173,-68.4819,2
Mount Waldo and Mendall Marsh via the Quarry Trail,176,Moderate,3.9,1010,Out & Back,"Mount Waldo and Mendall Marsh via the Quarry Trail is a 3.9 mile moderately trafficked out and back trail located near Frankfort, Maine that offers scenic views and is rated as moderate. The trail is primarily used for hiking, walking, nature trips, and birding and is best used from May until October. Dogs are also able to use this trail but must be kept on leash.",2,Maine,44.59339,-68.87697,2
East Royce Trail,193,Moderate,2.2,1643,Out & Back,"East Royce Trail is a 2.2 mile lightly trafficked out and back trail located near Bethel, Maine that features beautiful wild flowers and is rated as moderate. The trail is primarily used for hiking, nature trips, and birding and is best used from May until October. Dogs are also able to use this trail.",2,Maine,44.30521,-70.99002,2
Blueberry Mountain via Stone House Trail,195,Moderate,4.4,1256,Out & Back,"Blueberry Mountain via Stone House Trail is a 4.4 mile lightly trafficked out and back trail located near Bethel, Maine that features beautiful wild flowers and is rated as moderate. The trail is primarily used for hiking, walking, nature trips, and bird watching and is best used from April until October. Dogs are also able to use this trail but must be kept on leash.",2,Maine,44.25199,-70.99146,2
Saddleback Mountain via Bald Mountain Trail,196,Moderate,5.4,2559,Out & Back,"Saddleback Mountain via Bald Mountain Trail is a 5.4 mile moderately trafficked out and back trail located near Wilton, Maine that features a great forest setting and is rated as moderate. The trail is primarily used for hiking, walking, nature trips, and bird watching and is best used from April until September. Dogs are also able to use this trail but must be kept on leash.",2,Maine,44.65862,-70.34378,2
Piazza Rock via Appalachian Trail,200,Moderate,3.4,564,Out & Back,"Piazza Rock via Appalachian Trail is a 3.4 mile moderately trafficked out and back trail located near Rangeley, Maine that features a waterfall. The trail is rated as moderate and is primarily used for hiking, walking, trail running, and nature trips. Dogs are also able to use this trail but must be kept on leash.",2,Maine,44.8871,-70.54046,2
Hall Pond and Singepole Mountain Trail ,203,Moderate,2.5,541,Out & Back,"Hall Pond and Singepole Mountain Trail  is a 2.5 mile lightly trafficked out and back trail located near Paris, Maine that features a lake and is rated as moderate. The trail offers a number of activity options and is accessible year-round. Dogs are also able to use this trail but must be kept on leash.",2,Maine,44.21615,-70.4581,2
South Turner Mountain Via Sandy Stream Pond Trail,204,Moderate,3.5,1597,Out & Back,"South Turner Mountain Via Sandy Stream Pond Trail is a 3.5 mile out and back trail located near Millinocket, Maine that features a lake. The trail is rated as moderate and primarily used for hiking and trail running.",2,Maine,45.9197,-68.85739,2
Whitecap Mountain,205,Moderate,5.2,1578,Out & Back,"Whitecap Mountain is a 5.2 mile lightly trafficked out and back trail located near Rumford, Maine that offers the chance to see wildlife and is rated as moderate. The trail is primarily used for hiking and snowshoeing. Dogs are also able to use this trail but must be kept on leash.",2,Maine,44.55001,-70.68408,2
Tablelands Trail,218,Moderate,3.8,1437,Out & Back,"Tablelands Trail is a 3.8 mile lightly trafficked out and back trail located near Camden, Maine that features beautiful wild flowers and is rated as moderate. The trail is primarily used for hiking, walking, nature trips, and birding and is best used from May until October. Dogs are also able to use this trail but must be kept on leash.",2,Maine,44.21648,-69.0699,2
Maple Spring Trail,225,Moderate,2.7,731,Out & Back,"Maple Spring Trail is a 2.7 mile moderately trafficked out and back trail located near Mt Desert, Maine that features beautiful wild flowers and is rated as moderate. The trail is primarily used for hiking, nature trips, and birding and is accessible year-round. Dogs are also able to use this trail but must be kept on leash.",2,Maine,44.32588,-68.29125,2
Mount Tire'm ,230,Moderate,1.4,577,Out & Back,"Mount Tire'm  is a 1.4 mile lightly trafficked out and back trail located near Waterford, Maine that features a cave and is rated as moderate. The trail is primarily used for hiking and snowshoeing and is accessible year-round. Dogs are also able to use this trail but must be kept on leash.",2,Maine,44.1819,-70.7172,2
Ridge Trail to Maiden Cliffs Trail,231,Moderate,7.8,2404,Out & Back,"Ridge Trail to Maiden Cliffs Trail is a 7.8 mile out and back trail located near Lincolnville, Maine that features a great forest setting and is rated as moderate. The trail is primarily used for hiking and mountain biking. Dogs are also able to use this trail but must be kept on leash.",2,Maine,44.23045,-69.04902,2
Hawk Mountain ,235,Moderate,1.4,269,Out & Back,"Hawk Mountain  is a 1.4 mile moderately trafficked out and back trail located near Waterford, Maine that offers scenic views and is rated as moderate. The trail is primarily used for hiking and snowshoeing and is accessible year-round. Dogs are also able to use this trail but must be kept on leash.",2,Maine,44.15625,-70.6961,2
Burnt Mountain Trail,236,Moderate,5.5,1893,Out & Back,"Burnt Mountain Trail is a 5.5 mile moderately trafficked out and back trail located near Kingfield, Maine that features beautiful wild flowers and is rated as moderate. The trail offers a number of activity options and is best used from March until October. Dogs are also able to use this trail but must be kept on leash.",2,Maine,45.05416,-70.30941,2
Spaulding Mountain via Sugarloaf Ski Resort and Appalachian Trail,237,Moderate,9.1,4091,Out & Back,"Spaulding Mountain via Sugarloaf Ski Resort and Appalachian Trail is a 9.1 mile lightly trafficked out and back trail located near Kingfield, Maine that features a great forest setting and is rated as moderate. The trail offers a number of activity options and is accessible year-round. Dogs are also able to use this trail but must be kept on leash.",2,Maine,45.05431,-70.30986,2
Little Jackson Mountain Trail,238,Moderate,5.7,2365,Out & Back,"Little Jackson Mountain Trail is a 5.7 mile moderately trafficked out and back trail located near Phillips, Maine that features beautiful wild flowers and is rated as moderate. The trail offers a number of activity options and is best used from March until October. Dogs are also able to use this trail but must be kept on leash.",2,Maine,44.73247,-70.50919,2
Abbott Mountain Trail,242,Moderate,2.6,567,Out & Back,"Abbott Mountain Trail is a 2.6 mile heavily trafficked out and back trail located near Shapleigh, Maine that offers the chance to see wildlife and is rated as moderate. The trail is primarily used for hiking, walking, and nature trips and is best used from May until September. Dogs are also able to use this trail.",2,Maine,43.58199,-70.84447,2
Bald Mountain via Bald Mountain Trail,244,Moderate,2.5,1312,Out & Back,"Bald Mountain via Bald Mountain Trail is a 2.5 mile out and back trail located near Wilton, Maine that features a great forest setting. The trail is rated as moderate and primarily used for hiking, walking, nature trips, and birding. Dogs are also able to use this trail but must be kept on leash.",2,Maine,44.65826,-70.34337,2
Valley Peak Trail,247,Moderate,3.1,1200,Out & Back,"Valley Peak Trail is a 3.1 mile lightly trafficked out and back trail located near Southwest Harbor, Maine that features beautiful wild flowers and is rated as moderate. The trail is primarily used for hiking, walking, nature trips, and birding and is best used from March until October. Dogs are also able to use this trail but must be kept on leash.",2,Maine,44.29948,-68.31631,2
Schoodic Head Trail,249,Moderate,1.1,383,Out & Back,"Schoodic Head Trail is a 1.1 mile moderately trafficked out and back trail located near Winter Harbor, Maine that offers scenic views and is rated as moderate. The trail is primarily used for hiking, walking, nature trips, and bird watching and is accessible year-round. Dogs are also able to use this trail but must be kept on leash.",2,Maine,44.35015,-68.05388,2
Sears Island Tower Trail,253,Moderate,4.3,305,Out & Back,"Sears Island Tower Trail is a 4.3 mile moderately trafficked out and back trail located near Searsport, Maine that features beautiful wild flowers and is rated as moderate. The trail offers a number of activity options and is best used from April until September. Dogs are also able to use this trail.",2,Maine,44.4575,-68.88233,2
Ragged Mountain from Hope Street,254,Moderate,5.4,1095,Out & Back,"Ragged Mountain from Hope Street is a 5.4 mile moderately trafficked out and back trail located near Rockport, Maine that features beautiful wild flowers and is rated as moderate. The trail is primarily used for hiking, nature trips, and bird watching and is best used from April until October. Dogs are also able to use this trail but must be kept on leash.",2,Maine,44.21695,-69.17097,2
Baldpate from the East (Andover) Side,255,Moderate,7.8,2798,Out & Back,"Baldpate from the East (Andover) Side is a 7.8 mile out and back trail located near Newry, Maine that features a waterfall and is rated as moderate. The trail is primarily used for hiking and is best used from June until November. Dogs are also able to use this trail.",2,Maine,44.64109,-70.85565,2
White Cairn Trail,259,Moderate,3,1164,Out & Back,"White Cairn Trail is a 3 mile lightly trafficked out and back trail located near Lovell, Maine that offers the chance to see wildlife and is rated as moderate. The trail is primarily used for hiking, walking, and nature trips and is best used from April until October. Dogs are also able to use this trail but must be kept on leash.",2,Maine,44.25181,-70.99108,2
Mount Zircon Trail,263,Moderate,5.7,1610,Out & Back,"Mount Zircon Trail is a 5.7 mile lightly trafficked out and back trail located near Peru, Maine that features a great forest setting and is rated as moderate. The trail is primarily used for hiking, walking, and nature trips and is best used from April until October. Dogs are also able to use this trail but must be kept on leash.",2,Maine,44.50604,-70.56229,2
Dorr Mountain via Wild Gardens to Schiff to Emery Path,278,Moderate,3.4,1151,Out & Back,"Dorr Mountain via Wild Gardens to Schiff to Emery Path is a 3.4 mile heavily trafficked out and back trail located near Bar Harbor, Maine that features beautiful wild flowers and is rated as moderate. The trail is primarily used for hiking, trail running, and nature trips and is best used from May until October. Dogs are also able to use this trail but must be kept on leash.",2,Maine,44.36239,-68.20759,2
